,Name,Explanation,Action,Commonly known as,Abbrevations,See also,
,Chronic Fatigue,"Chronic fatigue syndrome (CFS) is the common name for a group of debilitating medical conditions characterised by persistent fatigue and other specific symptoms that lasts for a minimum of six months. The fatigue is not due to exertion, not significantly relieved by rest, and is not caused by other medical conditions. CFS may also be referred to as myalgic encephalomyelitis (ME), post-viral fatigue syndrome (PVFS), chronic fatigue immune dysfunction syndrome (CFIDS), or by several other terms. Biological, genetic, infectious and psychological mechanisms have been proposed, but the etiology of CFS is not understood and it may have multiple causes. The most commonly used diagnostic criteria and definition of CFS for research and clinical purposes were published by the United States Centers for Disease Control and Prevention (CDC). The CDC recommends the following three criteria be fulfilled: 1. A new onset (not lifelong) of severe fatigue for six consecutive months or greater duration which is unrelated to exertion, is not substantially relieved by rest, and is not a result of other medical conditions. 2. The fatigue causes a significant reduction of previous activity levels. 3. Four or more of the following symptoms that last six months or longer: ? Impaired memory or concentration ? Post-exertional malaise, where physical or mental exertions bring on ""extreme, prolonged exhaustion and sickness"" ? Unrefreshing sleep ? Muscle pain (myalgia) ? Pain in multiple joints (arthralgia) ? Headaches of a new kind or greater severity ? Sore throat, frequent or recurring ? Tender lymph nodes (cervical or axillary)",Consider possible underlying causes and differential diagnoses.,,CFS,,
,Cirrhosis,,Accept,,,"If related to malignancy, see Malignancy 
Alcoholism 
Autoimmune Disorders 
Malignancy",
,Coeliac Disease,"Coeliac disease is an autoimmune disorder of the small intestine that occurs in genetically predisposed people of all ages. Symptoms include pain and discomfort in the digestive tract, chronic constipation and diarrhoea, failure to thrive (in children), anaemia and fatigue. Coeliac disease is caused by a reaction to gliadin, a prolamin (gluten protein) found in wheat, and similar proteins found in the crops of the tribe Triticeae (which includes other common grains such as barley and rye).",Accept,Gluten intolerant,,,
,Congenital Disorders,"A congenital disorder, or congenital disease, is a condition existing at birth and often before birth, or that develops during the first month of life, regardless of causation. A congenital disorder may be the result of genetic abnormalities, the intrauterine (uterus) environment, errors of morphogenesis, infection, epigenetic modifications on a parental germline, or a chromosomal abnormality. Subtle changes in the cornea may be difficult to detect after death and donation (e.g. keratoconus) and therefore exclusion should be on the basis of the risk of the congenital disorder being associated with ocular manifestations.","Must not donate if the congenital disorder is high-risk for ocular disease, dysplasia, dystrophy, malformation or a metabolic disorder that may affect normal ocular function. Accept if it can be firmly established (through ophthalmic examination during the person’s lifetime) that there is no ocular dysplasia or malformation.",,,"Achondroplasia
Down Syndrome
Angelman Syndrome
Marfan Syndrome
Sanfilippo Syndrome
Turners Syndrome
Wilsons Disease
Ehlers-Danlos Syndrome",
,Colitis,,,,,"Infection – General
Inflammatory Bowel Disease
Malignancy",
,Congo Fever (Crimean Fever),"Crimean–Congo hemorrhagic fever (CCHF) is a widespread tick-borne viral disease, a zoonosis of domestic animals and wild animals that may affect humans. The pathogenic virus, especially common in East and West Africa, is a member of the Bunyaviridae family of RNA viruses. Clinical disease is rare in infected mammals, but commonly severe in infected humans, with a 30% mortality rate. Outbreaks of illness are usually attributable to handling infected animals or people.",Must not donate if less than 12 months following recovery.,Crimean Fever,CCHF,,
,Contact Lenses,,"Accept if no underlying disease process, infection or corneal scarring. 
Must not donate if related to or involved in an underlying disease e.g. keratoconus, infection.",,,,
,Contact with Infectious Disease,,,,,Infectious Disease – Contact with,
,Contagious Pustular Dermatitis (Orf virus),"Orf is an exanthaemous disease caused by a parapox virus and occurring primarily in sheep and goats. Orf virus is zoonotic. It causes a purulent-appearing papule locally and generally no systemic symptoms. Infected locations can include the finger, hand, arm, face. The papule may persist for 7 to 10 weeks and spontaneously resolves. It is an uncommon condition and may be difficult to diagnose. There have been no reported cases of human to human contraction. While Orf is usually a benign self-limiting illness, it can be progressive and even lifethreatening in the immune-compromised host.",,"Orf virus
Contagious pustular dermatitis 
Infectious labial dermatitis 
Ecthyma contagiosum 
Thistle disease 
Scabby mouth",,"Infection - Acute
",
,Cortisone Tablets,,,,,Steroid Therapy,
,Coxsackie Virus,,,"Hand, Foot and Mouth Disease",,"Hand, Foot and Mouth Disease",
,Creutzfeldt-Jakob Disease,,,CJD,,Prion Associated Diseases,
,Crimean Fever,,,,,Congo Fever,
,Crohn's Disease,"Crohn's disease, also known as Crohn syndrome and regional enteritis, is a type of inflammatory bowel disease that may affect any part of the gastrointestinal tract from mouth to anus, causing a wide variety of symptoms. It primarily causes abdominal pain, diarrhoea (which may be bloody if inflammation is at its worst), vomiting (can be continuous), or weight loss but may also cause complications outside the gastrointestinal tract such as anaemia, skin rashes, arthritis, inflammation of the eye, tiredness, and lack of concentration. Crohn's disease is caused by interactions between environmental, immunological and bacterial factors in genetically susceptible individuals. The cause of this condition is not fully understood and may include infection. Lesions caused by the disease can increase the risk of bacteria entering the blood stream. Therefore it may be relevant to only accept eyes if the corneas are to be preserved by organ culture. There is a chance that other organs and tissues may not be accepted for donation.",Accept if eyes are unaffected. It may be relevant to only accept eyes if the corneas are to be preserved by organ culture,Inflammatory Bowel Disease,,Inflammatory Bowel Disease,
,Cytomegalovirus,"Human cytomegalovirus is a species of virus that belongs to the viral family known as Herpesviridae or herpesviruses. It is typically abbreviated as HCMV and is alternatively known as Human herpesvirus 5 (HHV-5). After infection, HCMV has an ability to remain latent within the body over long periods.
Although they may be found throughout the body, HCMV infections are frequently associated with the salivary glands. HCMV infection is typically unnoticed in healthy people, but can be life-threatening for the immune-compromised, such as HIV-infected persons, organ transplant recipients, or new born infants.
The majority of the population are infected with HCMV. It presence is not considered relevant for eye donation as corneal recipients are not immune-compromised like organ recipients.
",Accept,CMV,"CMV
HCMV",Infection - General,
,Death from Unknown Cause,,"Accept if there is nothing to suggest that a possible cause of death or any other co-morbidities are contraindications to donation.
Must not donate in all other instances
",,,,
